date,platform,campaign_type,campaign_objetive,product_category,market,total_impressions,total_clicks,total_ad_spend,total_conversions,total_revenue,ctr,cpc,cpa,roas
2024-01-02,TikTok Ads,Shopping,Performance,Skincare,Brazil,83953,5935,7834.2,296,50505.07,0.07069431705835408,1.32,26.46689189189189,6.4467424880651505
2024-02-22,TikTok Ads,Search,Performance,Haircare,Mexico,91807,4489,8663.77,107,3369.53,0.04889605367782413,1.9300000000000002,80.96981308411215,0.3889219127469912
2024-08-14,Meta Ads,Video,Branding,Skincare,Brazil,118252,3748,1574.16,152,12838.56,0.03169502418563745,0.42000000000000004,10.356315789473685,8.15581643543223
2024-04-09,Google Ads,Display,Branding,Haircare,Argentina,198824,9046,32656.06,407,71482.19,0.04549752544964391,3.6100000000000003,80.23601965601966,2.1889410418770665
2024-01-08,Google Ads,Search,Performance,Skincare,Argentina,63243,1707,3823.68,37,3893.12,0.026991129453062,2.2399999999999998,103.3427027027027,1.0181605155243116
2024-08-10,Meta Ads,Shopping,Performance,Haircare,Brazil,21389,941,752.8,46,8479.43,0.04399457665154986,0.7999999999999999,16.36521739130435,11.263854941551543
2024-01-11,TikTok Ads,Video,Branding,Haircare,Brazil,108145,3882,3649.08,98,28726.52,0.03589625040454945,0.94,37.235510204081635,7.872263693862563
2024-06-09,Meta Ads,Display,Branding,Haircare,Brazil,79441,3082,1633.46,100,29391.59,0.038796087662542014,0.53,16.334600000000002,17.993455609564972
2024-07-25,Meta Ads,Search,Performance,Haircare,Brazil,154381,1698,3141.3,70,19750.24,0.0109987628011219,1.85,44.87571428571429,6.2872823353388725
2024-05-21,TikTok Ads,Display,Branding,Haircare,Mexico,152235,6104,4455.92,252,48424.44,0.040095904358393275,0.73,17.682222222222222,10.867439271800212
2024-02-17,Google Ads,Search,Performance,Skincare,Brazil,142244,4935,14706.3,127,34307.21,0.03469390624560614,2.98,115.79763779527559,2.3328240277976104
2024-05-22,TikTok Ads,Display,Branding,Skincare,Brazil,70428,3310,3872.7,164,25462.93,0.0469983529278128,1.17,23.6140243902439,6.574981279210887
2024-12-06,TikTok Ads,Search,Performance,Skincare,Mexico,180021,13105,21099.05,880,75656.62,0.07279706256492298,1.6099999999999999,23.976193181818182,3.5857832461651116
2024-06-10,TikTok Ads,Video,Branding,Skincare,Brazil,141643,8526,3921.96,379,51038.1,0.06019358528130582,0.46,10.348179419525065,13.013416761007251
2024-06-30,Meta Ads,Video,Branding,Makeup,Brazil,59131,1425,1482,66,19372.57,0.024099034347465798,1.04,22.454545454545453,13.071909581646423
